id,purchase_method
__export__.product_template_3927_2c3d5ecf,receive
__export__.product_template_2935_754db24e,receive
__export__.product_template_4077_aa20f212,receive
__export__.product_template_3939_97c96bb1,receive
__export__.product_template_4308_cc6d9a8b,receive
__export__.product_template_4310_2a472f26,receive
__export__.product_template_4136_378b2fe5,receive
__export__.product_template_4242_6ead43ae,receive
__export__.product_template_3803_3f611e7b,receive
__export__.product_template_3805_93497c82,receive
__export__.product_template_3815_744e05c0,receive
__export__.product_template_3807_f138ad41,receive
__export__.product_template_3830_6c0f4b89,receive
__export__.product_template_3791_819fe7a0,receive
__export__.product_template_3819_ced07b96,receive
__export__.product_template_3990_3b0d4865,receive
__export__.product_template_3991_7a15b55a,receive
__export__.product_template_4144_ed2686d5,receive
__export__.product_template_2945_24239594,receive
__export__.product_template_2946_0667b522,receive
__export__.product_template_3992_a3ec63b0,receive
__export__.product_template_4277_955e1b63,receive
__export__.product_template_4213_877848f9,receive
__export__.product_template_2947_f0a732e5,receive
__export__.product_template_2949_398a0dae,receive
__export__.product_template_2951_0894e03a,receive
__export__.product_template_3993_fd64caac,receive
__export__.product_template_2952_4a06ac10,receive
__export__.product_template_3994_bf79b25d,receive
__export__.product_template_2953_ef512805,receive
__export__.product_template_3945_819258c8,receive
__export__.product_template_2956_0fd9376f,receive
__export__.product_template_3943_a5d4146e,receive
__export__.product_template_2959_7b15bae5,receive
__export__.product_template_2961_3361f3fa,receive
__export__.product_template_4246_34d4ed0e,receive
__export__.product_template_3001_9fdc9b49,receive
__export__.product_template_3933_9490eef5,receive
__export__.product_template_2967_ac4794f9,receive
__export__.product_template_2966_a3d24c7f,receive
__export__.product_template_2969_ae5baa45,receive
__export__.product_template_2970_acaa5f7f,receive
__export__.product_template_4079_407391f0,receive
__export__.product_template_2973_5123f818,receive
__export__.product_template_2974_50f6240d,receive
__export__.product_template_3004_5f8d4d4e,receive
__export__.product_template_4066_4b3e3916,receive
__export__.product_template_4023_91637541,receive
__export__.product_template_2975_7cf09f10,receive
__export__.product_template_2977_58cb686f,receive
__export__.product_template_2978_35adc4f2,receive
__export__.product_template_2979_11cc58bc,receive
__export__.product_template_3865_e524e27e,receive
__export__.product_template_2981_6f66497c,receive
__export__.product_template_2982_fdf635cf,receive
__export__.product_template_2984_f1c952a8,receive
__export__.product_template_3876_1ed01b37,receive
__export__.product_template_2986_e6f3cd14,receive
__export__.product_template_4145_43146f4d,receive
__export__.product_template_3999_0d0da41f,receive
__export__.product_template_4000_b727e372,receive
__export__.product_template_4001_aaeef2ec,receive
__export__.product_template_2990_bf567088,receive
__export__.product_template_2992_e9c5b759,receive
__export__.product_template_2993_142459f8,receive
__export__.product_template_2994_e9317bfb,receive
__export__.product_template_3881_66c1065b,receive
__export__.product_template_2995_b0afb772,receive
__export__.product_template_2997_e708520c,receive
__export__.product_template_4160_7596d794,receive
__export__.product_template_2999_b5752533,receive
__export__.product_template_3002_7f7baeec,receive
__export__.product_template_3837_b81fe06b,receive
__export__.product_template_4178_26c98a29,receive
__export__.product_template_4278_3894d0e0,receive
__export__.product_template_4220_f4888aa0,receive
__export__.product_template_3006_05584996,receive
__export__.product_template_4012_480f2196,receive
__export__.product_template_3861_3141aebd,receive
__export__.product_template_4030_bc938d36,receive
__export__.product_template_4304_3170e8b0,receive
__export__.product_template_3866_85e9b4ff,receive
__export__.product_template_4305_eb263b56,receive
__export__.product_template_4312_0350bc14,receive
__export__.product_template_4307_70925f0d,receive
__export__.product_template_3022_f6e89d85,receive
__export__.product_template_3019_1e979554,receive
__export__.product_template_4237_2fbf6560,receive
__export__.product_template_3942_661a7328,receive
__export__.product_template_4125_405aa347,receive
__export__.product_template_3816_461ff65d,receive
__export__.product_template_4003_292641f5,receive
__export__.product_template_3785_665cdfb1,receive
__export__.product_template_3938_d4e7e62f,receive
__export__.product_template_3875_c6a614db,receive
__export__.product_template_4293_a0fd62db,receive
__export__.product_template_4147_c18dd2a7,receive
__export__.product_template_4250_a6cac647,receive
__export__.product_template_3834_042b151a,receive
__export__.product_template_4118_894e1908,receive
__export__.product_template_4004_ad0778b8,receive
__export__.product_template_4006_a86f6abb,receive
__export__.product_template_4007_c96dc65d,receive
__export__.product_template_4008_d01a9b32,receive
__export__.product_template_4009_6a6582e7,receive
__export__.product_template_3052_4fbbe135,receive
__export__.product_template_4076_700b165d,receive
__export__.product_template_3053_b842374f,receive
__export__.product_template_3922_f3bf40c8,receive
__export__.product_template_4230_014df167,receive
__export__.product_template_4128_d4ae31e2,receive
__export__.product_template_4119_182da483,receive
__export__.product_template_4121_dc2b1a95,receive
__export__.product_template_4120_b0b88e2c,receive
__export__.product_template_4209_43b4d61c,receive
__export__.product_template_4011_1c5d8957,receive
__export__.product_template_4251_1b59dd25,receive
__export__.product_template_3059_57b8dbe8,receive
__export__.product_template_3060_a7c6a39c,receive
__export__.product_template_3061_fd8e5025,receive
__export__.product_template_3062_1f3b1361,receive
__export__.product_template_4015_d3340075,receive
__export__.product_template_3921_f34ec9af,receive
__export__.product_template_3064_34a47ead,receive
__export__.product_template_3066_25073be0,receive
__export__.product_template_4130_c79b172b,receive
__export__.product_template_4131_55fc2add,receive
__export__.product_template_3871_04b244fa,receive
__export__.product_template_3908_dcc63a7c,receive
__export__.product_template_4153_6e4d6da4,receive
__export__.product_template_3846_6cd9b5e8,receive
__export__.product_template_3914_3652e832,receive
__export__.product_template_3962_3ee1cacd,receive
__export__.product_template_3937_c007fc89,receive
__export__.product_template_3926_fa7bdcc8,receive
__export__.product_template_3078_198e7855,receive
__export__.product_template_3083_b81b5269,receive
__export__.product_template_3869_59e2ae3c,receive
__export__.product_template_3911_41669c01,receive
__export__.product_template_4180_8239fde3,receive
__export__.product_template_4311_6d7038c6,receive
__export__.product_template_4017_a0f4d698,receive
__export__.product_template_3794_b40b9c30,receive
__export__.product_template_4197_2f73620f,receive
__export__.product_template_3808_16e45246,receive
__export__.product_template_3897_d847d85e,receive
__export__.product_template_4018_02367ccd,receive
__export__.product_template_3806_e2aa0b16,receive
__export__.product_template_3831_fc21f614,receive
__export__.product_template_3792_adc635d0,receive
__export__.product_template_3820_8421a764,receive
__export__.product_template_4328_cf4fa001,receive
__export__.product_template_3904_ae23e2e3,receive
__export__.product_template_4319_57ebc068,receive
__export__.product_template_3796_8507ca23,receive
__export__.product_template_4266_a8cc9eda,receive
__export__.product_template_4138_91c5023a,receive
__export__.product_template_3853_e504ce5c,receive
__export__.product_template_3918_d9d25d3c,receive
__export__.product_template_3878_cb0cf38d,receive
__export__.product_template_3839_1b32031e,receive
__export__.product_template_3954_66a88e95,receive
__export__.product_template_4219_fa2b0be0,receive
__export__.product_template_3901_6158eeea,receive
__export__.product_template_3893_a532fb46,receive
__export__.product_template_3802_d7b1b876,receive
__export__.product_template_3126_bea44c25,receive
__export__.product_template_4211_1ccb0484,receive
__export__.product_template_4261_0153b416,receive
__export__.product_template_4184_796f39d6,receive
__export__.product_template_4236_8eb3148a,receive
